scientific_name,city,long,lat,count
Gleditsia triacanthos,Portland,-122.0,46.0,1412
Gleditsia triacanthos,Providence,-72.0,42.0,1926
Gleditsia triacanthos,Rochester,-76.0,42.0,6305
Gleditsia triacanthos,San Francisco,-122.0,38.0,117
Gleditsia triacanthos,San Jose,-122.0,37.0,4037
Gleditsia triacanthos,Seattle,-122.0,48.0,1404
Gleditsia triacanthos,Sioux Falls,-97.0,44.0,2322
Gleditsia triacanthos,St. Louis,-90.0,39.0,3013
Gleditsia triacanthos,Stockton,-116.0,37.0,324
Gleditsia triacanthos,Washington DC,-77.0,39.0,1911
Gleditsia triacanthos,Watertown,-89.0,43.0,385
Gleditsia triacanthos,Waukee,-94.0,42.0,103
Gleditsia triacanthos,Wauwatosa,-88.0,43.0,157
Gleditsia triacanthos,West Allis,-88.0,43.0,238
Lagerstroemia indica,Anaheim,-118.0,34.0,3407
Lagerstroemia indica,Arlington,-97.0,33.0,1195
Lagerstroemia indica,Atlanta,-84.0,34.0,1612
Lagerstroemia indica,Austin,-98.0,30.0,609
Lagerstroemia indica,Baltimore,-77.0,39.0,1584
Lagerstroemia indica,Cape Coral,-82.0,27.0,503
Lagerstroemia indica,Garden Grove,-118.0,34.0,2358
Lagerstroemia indica,Houston,-92.0,33.0,44320
Lagerstroemia indica,Huntington Beach,-118.0,34.0,3892
Lagerstroemia indica,Kaneohe,-158.0,21.0,129
Lagerstroemia indica,Knoxville,-84.0,36.0,516
Lagerstroemia indica,Las Vegas,-115.0,36.0,77
Lagerstroemia indica,Los Angeles,-118.0,34.0,28054
Lagerstroemia indica,Oakland,-95.0,39.0,1953
Lagerstroemia indica,Oklahoma City,-98.0,36.0,689
Lagerstroemia indica,Ontario,-115.0,37.0,4630
Lagerstroemia indica,Portland,-122.0,46.0,852
Lagerstroemia indica,Rancho Cucamonga,-118.0,34.0,12889
Lagerstroemia indica,Sacramento,-121.0,38.0,4144
Lagerstroemia indica,San Diego,-117.0,33.0,2207
Lagerstroemia indica,San Francisco,-122.0,38.0,102
Lagerstroemia indica,San Jose,-122.0,37.0,21636
Lagerstroemia indica,Seattle,-122.0,48.0,406
Lagerstroemia indica,Stockton,-116.0,36.0,7354
Lagerstroemia indica,Tampa,-82.0,28.0,2851
Lagerstroemia indica,Washington DC,-77.0,39.0,4325
Liquidambar styraciflua,Anaheim,-118.0,34.0,1455
Liquidambar styraciflua,Arlington,-97.0,33.0,91
Liquidambar styraciflua,Baltimore,-77.0,39.0,2505
