state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,1970,-2.44,-0.72,5.11,11.83,14.0,17.94,19.44,20.61,18.67,11.67,2.5,3.0
Alabama,1971,1.17,0.67,3.0,7.83,12.0,18.72,19.94,19.67,18.39,13.28,3.94,7.5
Alabama,1972,3.17,2.22,5.61,10.06,13.83,17.0,18.94,19.61,18.28,10.67,5.0,3.89
Alabama,1973,0.44,0.22,9.61,9.44,12.83,18.83,20.78,19.11,18.78,12.06,7.33,1.11
Alabama,1974,7.72,1.67,8.56,9.11,15.72,16.56,19.61,19.5,16.11,7.33,4.06,2.22
Alabama,1975,3.28,4.17,5.22,9.0,16.28,18.28,20.0,20.28,15.61,11.56,5.72,1.06
Alabama,1976,-2.06,3.78,8.11,8.89,12.28,17.33,19.5,18.44,16.11,7.39,0.78,-1.17
Alabama,1977,-5.0,-0.44,7.61,10.72,14.83,18.72,20.94,20.44,18.61,8.67,7.72,0.83
Alabama,1978,-2.89,-2.61,3.78,9.83,14.67,19.22,20.78,20.22,18.44,8.22,7.83,1.11
Alabama,1979,-2.33,1.0,5.89,11.22,14.56,17.56,20.83,19.61,17.39,8.94,4.33,0.94
Alabama,1980,3.11,-0.67,5.0,8.61,15.11,18.56,21.39,20.61,18.83,8.33,4.39,0.0
Alabama,1981,-2.89,1.67,3.61,12.06,12.5,20.39,21.0,19.78,14.44,9.72,4.83,0.44
Alabama,1982,-0.33,2.89,8.33,9.44,14.78,18.11,20.56,20.22,15.67,10.83,6.33,6.0
Alabama,1983,0.11,2.67,4.89,7.33,13.72,18.0,20.61,20.67,15.67,11.06,4.67,-0.22
Alabama,1984,-1.67,1.94,4.83,9.61,13.44,17.78,19.72,19.56,15.17,14.44,3.89,6.39
Alabama,1985,-3.39,1.56,8.0,10.33,14.94,18.89,20.11,20.06,16.11,14.33,10.78,-1.61
Alabama,1986,-1.11,4.22,5.17,8.33,15.28,19.89,21.28,19.44,18.78,11.72,9.83,2.94
Alabama,1987,0.28,3.61,6.44,7.72,16.89,18.89,20.33,21.11,16.28,5.22,5.83,4.06
Alabama,1988,-0.67,0.33,5.11,9.83,12.06,17.22,20.44,20.83,18.5,8.22,7.0,1.33
Alabama,1989,3.89,3.39,7.78,8.83,13.94,19.17,20.83,19.78,17.22,9.56,5.17,-2.44
Alabama,1990,3.67,6.44,7.72,8.78,14.33,18.61,20.22,19.94,16.94,10.17,5.33,4.33
Alabama,1991,3.11,4.06,7.0,12.89,17.94,19.33,21.28,20.22,16.94,10.61,3.17,3.78
Alabama,1992,1.06,4.06,5.56,9.17,12.78,17.94,21.0,18.89,17.67,9.67,5.33,3.5
Alabama,1993,4.22,1.5,4.67,7.72,14.06,18.94,21.39,20.72,16.78,10.44,4.0,1.61
Alabama,1994,-0.67,3.5,5.72,10.72,13.44,20.11,20.28,19.33,16.11,12.33,8.0,4.44
Alabama,1995,1.61,2.22,8.28,9.89,15.83,17.61,20.83,22.0,16.67,10.78,3.06,1.17
Alabama,1996,-0.17,1.89,3.89,7.94,15.83,18.89,20.56,19.83,16.28,10.5,5.28,3.17
Alabama,1997,2.11,4.89,9.11,7.83,12.83,18.33,21.11,19.44,16.89,10.28,4.0,1.5
Alabama,1998,3.22,3.72,5.61,9.83,16.0,20.56,22.06,20.39,19.17,12.0,7.89,5.56
Alabama,1999,3.0,4.39,4.17,12.72,13.67,19.5,21.39,20.83,15.44,10.28,5.67,1.44
Alabama,2000,2.17,3.56,7.56,8.22,16.44,18.72,20.5,20.11,17.0,9.78,5.56,-1.89
Alabama,2001,-1.17,5.0,5.06,11.33,14.33,18.67,20.78,20.44,16.22,8.22,6.72,3.94
Alabama,2002,1.83,0.72,5.33,12.67,14.56,18.83,21.0,20.33,19.83,15.39,4.39,1.17
Alabama,2003,-2.0,2.89,8.28,10.44,16.44,18.72,20.67,21.06,16.44,10.61,7.56,-0.22
Alabama,2004,0.33,2.22,7.44,8.39,16.28,19.94,20.44,18.67,17.72,14.72,8.89,0.78
Alabama,2005,3.39,4.89,5.39,8.78,12.94,19.39,21.78,21.67,18.44,10.61,5.94,-0.39
Alabama,2006,4.0,1.56,6.11,12.06,14.72,18.17,21.0,21.67,15.94,9.33,4.33,2.72
Alabama,2007,2.44,0.06,7.44,8.22,13.89,18.78,20.67,22.17,18.06,12.56,4.39,4.78
Alabama,2008,0.06,2.28,5.11,10.33,14.72,19.33,20.22,20.22,17.89,10.0,3.06,3.94
Alabama,2009,1.0,1.56,7.56,9.22,16.78,20.0,19.61,20.06,19.22,11.61,5.11,1.94
Alabama,2010,-1.56,-0.94,4.28,9.83,16.83,21.17,22.17,22.56,17.28,9.11,5.72,-1.72
Alabama,2011,-1.0,2.89,7.56,11.44,13.78,20.28,21.89,20.78,16.06,8.11,6.17,3.56
Alabama,2012,3.33,5.44,11.56,11.33,16.33,18.5,21.61,20.17,16.61,10.0,2.78,4.44
Alabama,2013,4.61,2.89,2.89,10.0,13.78,20.11,20.67,20.33,17.67,11.94,4.44,3.11
Alabama,2014,-4.06,2.17,4.22,10.06,14.56,19.94,19.56,19.94,18.72,11.11,1.83,4.33
Alabama,2015,0.28,-1.11,8.22,13.06,15.56,20.11,21.78,20.11,17.56,11.89,9.5,8.33
Alabama,2016,0.33,3.44,8.83,10.72,14.72,19.72,21.72,22.06,19.06,12.0,5.89,4.22
Alabama,2017,5.56,6.28,7.83,12.22,14.39,19.33,21.39,20.78,16.89,12.44,6.17,2.78
Alabama,2018,-1.67,8.83,6.22,7.89,17.06,20.39,21.56,20.78,20.89,13.72,4.5,4.44
Alabama,2019,2.5,7.89,6.17,10.44,16.94,19.67,21.22,20.94,19.44,13.83,3.06,5.22
Alabama,2020,4.0,4.83,11.78,9.67,13.89,19.28,21.67,21.33,18.33,13.22,8.0,1.0
Alabama,2021,2.61,2.11,8.72,9.28,14.28,19.56,21.17,21.44,17.89,13.83,3.78,7.61
Alabama,2022,0.0,2.89,6.56,9.67,16.78,20.5,22.11,21.22,16.78,8.22,6.61,4.17
Alabama,2023,4.83,7.44,7.83,10.56,15.22,18.78,21.67,21.61,18.0,11.39,,
Arizona,1895,-0.11,-0.56,1.89,5.89,10.5,13.28,18.67,18.61,14.56,9.22,1.83,-3.44
Arizona,1896,0.28,0.28,3.33,4.94,10.72,16.61,19.56,18.89,15.94,10.06,2.67,-0.72
Arizona,1897,0.22,-0.83,0.56,5.5,11.17,13.72,18.56,19.17,16.06,8.22,2.06,-3.78
Arizona,1898,-4.28,0.56,1.0,8.44,9.61,15.72,20.39,20.06,14.72,7.11,0.83,-4.33
Arizona,1899,-3.39,-0.89,2.06,6.06,7.11,15.22,19.89,17.0,15.33,7.72,3.0,-1.28
Arizona,1900,0.11,-0.17,4.72,5.06,11.28,15.39,19.39,15.56,12.44,8.5,3.33,-2.17
Arizona,1901,-1.5,1.39,1.44,4.33,10.28,13.61,20.33,19.5,13.06,8.61,4.0,-2.33
Arizona,1902,-2.0,-0.44,0.5,6.22,10.06,15.22,16.94,18.28,14.28,8.83,2.56,-1.39
Arizona,1903,-1.78,-3.44,2.39,5.61,9.72,15.28,18.67,19.0,14.33,7.17,2.17,-3.06
Arizona,1904,-5.0,0.94,4.0,4.94,10.44,14.72,17.67,18.89,14.11,7.56,0.89,-1.39
Arizona,1905,0.33,3.0,5.17,6.33,7.94,13.28,17.39,18.72,15.0,7.33,3.72,-3.11
Arizona,1906,-2.67,2.61,3.39,5.67,9.11,13.33,19.17,17.44,13.0,6.56,1.72,1.39
Arizona,1907,0.11,2.33,3.06,6.0,8.11,11.94,18.33,17.94,13.5,9.67,2.5,-1.11
Arizona,1908,-0.94,0.22,3.17,5.61,7.56,12.39,18.72,18.39,13.11,5.11,1.94,-0.61
Arizona,1909,1.06,-0.44,0.83,4.72,7.72,14.28,18.83,18.67,13.83,6.44,1.44,-3.83
Arizona,1910,-2.06,-1.72,4.33,6.17,10.67,14.94,18.72,18.89,15.44,7.89,3.44,-0.11
Arizona,1911,1.56,0.33,4.72,5.44,8.06,14.17,18.56,17.44,15.39,7.22,0.33,-5.44
Arizona,1912,-3.0,-2.11,2.56,4.17,8.72,14.67,16.89,16.89,10.67,7.39,1.11,-4.11
Arizona,1913,-5.17,-0.89,0.0,4.89,8.5,13.06,17.06,18.06,13.39,6.11,5.0,-1.72
Arizona,1914,0.33,-0.33,3.39,6.39,9.89,15.22,18.67,18.28,15.0,8.61,3.78,-1.28
Arizona,1915,-2.5,0.33,2.0,6.22,8.0,13.56,18.22,17.72,13.11,6.78,1.33,-1.83
Arizona,1916,-0.28,1.83,4.11,5.94,8.28,13.56,18.22,17.22,13.56,6.89,-0.56,-4.17
Arizona,1917,-2.94,-1.0,-1.11,4.0,7.67,14.17,20.06,17.56,15.0,7.56,1.89,-1.72
Arizona,1918,-3.56,0.06,4.0,5.33,8.11,17.83,18.56,17.0,14.56,9.0,1.22,-2.17
Arizona,1919,-5.28,-2.22,1.11,6.67,11.06,14.56,19.56,18.44,15.0,6.17,1.28,-0.83
Arizona,1920,-0.28,2.56,1.39,3.67,9.28,14.0,18.17,17.17,12.94,6.06,1.28,-3.72
Arizona,1921,-1.72,-0.39,3.94,3.67,8.67,15.06,19.28,18.06,13.78,9.33,1.61,1.11
Arizona,1922,-3.61,-0.78,0.5,3.56,9.28,15.44,19.39,18.61,15.33,7.56,0.0,0.44
Arizona,1923,-0.61,-1.22,0.56,5.33,10.22,12.06,19.11,17.78,12.89,5.61,3.11,-0.83
Arizona,1924,-4.33,-0.22,0.06,4.67,10.33,15.5,18.44,17.67,14.11,5.89,1.11,-3.17
Arizona,1925,-5.06,0.28,2.17,5.83,11.39,15.17,19.39,17.11,12.94,7.94,1.33,-1.5
Arizona,1926,-3.83,0.28,3.44,7.78,10.06,15.28,17.78,17.5,14.89,8.78,2.56,-1.67
Arizona,1927,-0.33,2.28,1.67,5.56,9.44,14.44,18.89,17.78,14.33,7.72,3.78,-2.44
Arizona,1928,-2.33,-0.33,3.5,4.78,11.67,14.5,18.56,17.5,14.33,8.61,2.39,-2.56
Arizona,1929,-3.11,-2.5,1.11,4.33,9.83,13.83,19.44,18.56,14.83,8.39,-0.67,-1.94
Arizona,1930,-2.11,0.78,2.0,7.44,7.83,14.83,19.11,17.72,12.89,6.11,1.44,-4.0
Arizona,1931,-3.33,2.22,1.61,7.06,10.44,15.28,20.22,18.22,15.22,8.33,1.17,-4.0
Arizona,1932,-5.28,1.17,2.06,4.89,9.17,13.67,19.17,18.28,14.17,7.56,1.67,-4.28
Arizona,1933,-4.61,-4.89,1.44,3.28,6.89,15.0,20.06,18.39,16.06,10.22,1.78,-1.11
Arizona,1934,-2.44,1.67,4.61,7.72,12.33,12.89,19.67,18.89,13.61,8.17,2.5,-0.33
Arizona,1935,-0.44,1.22,1.56,5.89,8.33,14.78,18.0,18.44,14.28,7.33,0.5,-1.17
Arizona,1936,-2.56,0.44,2.5,6.39,10.72,16.28,19.22,18.78,14.0,8.06,2.0,-1.39
Arizona,1937,-8.5,-1.22,1.78,4.72,10.39,14.44,18.94,18.83,15.89,8.56,1.83,1.0
Arizona,1938,-0.83,0.61,2.06,5.33,9.33,14.78,17.83,18.06,15.22,7.56,-1.83,-0.5
Arizona,1939,-1.5,-4.5,2.17,6.72,10.22,14.56,19.0,18.5,15.28,6.56,3.78,0.0
Arizona,1940,-0.5,0.61,3.11,6.56,11.67,16.56,18.67,18.44,15.44,8.94,1.11,1.44
Arizona,1941,0.28,2.94,2.72,4.0,10.22,12.78,17.61,16.78,12.33,7.17,2.0,-0.61
Arizona,1942,-2.0,-2.44,0.06,5.22,8.22,13.33,19.06,17.56,13.28,8.17,2.78,-0.5
