state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Indiana,2003,-1.22,0.83,11.94,18.39,21.5,25.56,28.67,29.11,23.78,18.22,12.89,4.78
Indiana,2008,2.61,2.22,8.61,17.67,20.67,28.39,28.89,28.17,26.56,18.83,9.83,3.56
Indiana,2013,3.67,3.39,6.0,16.67,24.11,27.22,27.78,28.11,26.28,18.5,9.11,3.11
Indiana,2018,0.72,6.94,8.56,13.5,27.56,28.61,29.33,28.78,26.67,18.5,6.56,6.06
Indiana,2023,6.06,9.61,10.39,18.67,23.56,27.56,29.39,27.94,26.06,19.5,,
Iowa,1978,-8.11,-5.61,4.94,14.61,21.39,27.61,28.39,28.33,26.61,16.67,6.83,-2.44
Iowa,1983,-0.89,2.22,6.39,10.83,19.44,26.94,31.56,32.44,24.94,16.22,7.11,-9.28
Iowa,1988,-3.5,-1.61,10.06,16.78,26.28,31.06,31.33,31.39,25.22,14.67,8.39,1.94
Iowa,1993,-3.33,-3.44,3.83,12.83,20.78,25.0,26.83,27.17,19.72,15.67,6.06,0.78
Iowa,1998,-1.0,5.11,4.44,15.44,24.61,24.89,28.83,28.0,27.11,17.5,9.78,4.17
Iowa,2003,-1.83,-0.44,7.78,16.83,20.67,25.78,28.89,30.22,23.33,18.78,7.06,2.06
Iowa,2008,-3.67,-3.44,5.5,13.39,20.72,26.72,28.67,27.44,23.56,16.67,7.83,-2.44
Iowa,2013,-0.11,0.33,2.94,12.5,20.78,25.83,28.56,28.56,26.39,16.56,6.56,-2.89
Iowa,2018,-2.78,-1.22,6.44,10.33,25.94,28.39,28.78,27.94,24.39,14.61,3.22,1.94
Iowa,2023,-0.44,2.61,6.17,16.83,24.28,28.78,28.44,28.61,26.39,17.83,,
Kansas,1978,-1.5,-0.83,12.39,20.22,22.78,30.44,35.28,33.06,30.22,22.56,11.17,5.28
Kansas,1983,4.22,7.33,10.78,14.11,22.28,27.89,35.11,36.78,29.78,20.33,12.33,-4.11
Kansas,1988,2.33,7.44,13.89,19.11,26.17,32.94,32.67,33.72,27.78,19.39,14.44,10.11
Kansas,1993,0.67,2.94,10.78,16.22,22.89,28.5,31.44,31.39,24.78,19.06,10.44,8.33
Kansas,1998,5.61,9.56,8.89,17.89,27.39,30.89,32.56,32.39,31.11,21.5,14.28,8.0
Kansas,2003,6.83,6.17,13.72,20.67,24.17,27.89,35.56,34.28,25.72,22.56,11.89,8.06
Kansas,2008,5.61,6.56,13.67,17.39,24.56,30.33,32.89,30.17,25.67,19.94,13.78,5.67
Kansas,2013,6.94,7.56,11.56,16.17,24.67,31.5,32.06,30.94,29.61,20.22,12.0,5.33
Kansas,2018,6.33,7.0,15.67,16.78,29.22,32.78,32.83,30.78,27.22,18.33,9.89,7.44
Kansas,2023,6.5,9.72,12.44,21.28,25.78,29.78,32.56,33.61,30.56,21.89,,
Kentucky,1978,-0.61,0.44,10.72,20.67,22.89,29.11,30.61,29.44,28.0,19.67,15.22,8.67
Kentucky,1983,5.28,8.56,13.56,15.78,22.5,28.33,32.22,33.39,28.0,21.11,14.22,3.0
Kentucky,1988,4.06,7.56,14.11,20.22,25.5,31.22,32.06,31.89,26.11,16.94,14.94,8.83
Kentucky,1993,8.0,7.22,10.89,18.33,24.61,28.56,32.44,30.72,25.22,19.28,12.61,6.39
Kentucky,1998,9.11,10.33,13.39,18.78,26.06,28.83,29.78,30.56,30.67,22.44,15.56,10.0
Kentucky,2003,2.72,5.0,16.0,21.0,23.39,26.56,29.72,30.06,25.22,20.61,16.17,7.67
Kentucky,2008,6.0,8.06,13.39,19.72,23.22,30.0,30.44,30.0,28.78,21.17,12.44,8.33
Kentucky,2013,7.5,8.33,9.28,19.78,24.5,28.67,28.78,28.61,26.94,20.28,12.33,8.06
